Date,Covid_Indo,Covid_France,Covid_Jpn,Covid_Mas,Covid_USA,Low_EUR,Low_JPY,Low_MYR,Low_USD
02-Mar-20,2,30,15,4,20,15762.80,131.28,3385.70,14225.00
03-Mar-20,0,48,0,0,14,15799.10,131.10,3374.13,14196.50
04-Mar-20,0,34,14,7,22,15660.60,131.01,3368.39,14095.00
05-Mar-20,0,73,49,14,34,15715.70,131.04,3378.42,14120.00
06-Mar-20,0,138,32,0,74,15886.10,133.24,3392.80,14190.00
09-Mar-20,2,410,33,6,121,16054.50,135.60,3387.10,14247.50
10-Mar-20,0,286,26,18,200,16173.70,135.43,3379.70,14281.00
11-Mar-20,13,372,54,12,271,16158.10,135.81,3366.93,14292.50
12-Mar-20,15,497,51,20,287,16055.10,136.87,3376.42,14366.50
13-Mar-20,0,595,56,9,351,16215.60,136.12,3385.78,14610.00
16-Mar-20,21,924,34,190,823,16309.80,136.78,3427.99,14725.00
17-Mar-20,17,1210,10,125,887,16617.30,139.78,3455.77,14940.00
18-Mar-20,38,1097,5,120,1766,16437.90,140.05,3461.53,15097.50
19-Mar-20,0,1404,44,117,2988,16583.30,139.67,3472.33,15287.50
20-Mar-20,55,1861,77,110,4835,16938.90,142.79,3593.68,15925.00
23-Mar-20,64,1559,43,123,8459,16938.60,143.13,3593.68,15975.00
24-Mar-20,65,3838,39,212,11236,17730.10,147.68,3711.18,16472.50
26-Mar-20,104,2931,75,172,13963,17673.20,146.27,3693.46,16205.00
27-Mar-20,103,3922,96,235,16797,17678.10,147.59,3714.63,16060.00
30-Mar-20,130,2599,173,150,18360,17885.80,149.48,3703.80,16155.00
31-Mar-20,129,4376,87,156,21595,17820.30,149.99,3770.06,16300.00
01-Apr-20,114,7578,0,140,24998,17934.60,151.33,3771.79,16325.00
02-Apr-20,149,4861,225,142,27103,17826.80,152.40,3750.57,16475.00
03-Apr-20,113,2116,439,208,28819,17693.80,151.12,3766.77,16425.00
06-Apr-20,181,1873,383,179,25398,17672.20,150.14,3754.29,16412.50
07-Apr-20,218,3912,252,131,30561,17551.50,148.18,3722.69,16175.00
08-Apr-20,247,3777,351,170,30613,17541.00,148.25,3701.04,16167.50
09-Apr-20,218,3881,511,156,33323,17163.10,145.17,3644.32,15820.00
13-Apr-20,399,1613,507,153,27620,17024.20,144.60,3610.96,15630.00
14-Apr-20,316,2673,390,134,25023,17042.90,144.99,3604.71,15630.00
15-Apr-20,282,5497,455,170,26922,16898.10,144.30,3582.29,15540.00
16-Apr-20,297,2633,482,85,30148,16908.10,144.25,3565.67,15640.00
17-Apr-20,380,2641,585,110,31667,16665.10,142.76,3518.00,15400.00
20-Apr-20,327,785,390,84,24601,16715.70,142.82,3512.76,15412.50
21-Apr-20,185,2051,367,36,28065,16705.30,142.97,3510.83,15455.00
22-Apr-20,375,2667,378,57,37289,16689.10,143.13,3516.51,15450.00
23-Apr-20,283,1827,276,50,17588,16563.50,142.54,3528.08,15400.00
24-Apr-20,357,1653,468,71,26543,16528.10,142.90,3524.85,15400.00
27-Apr-20,275,461,203,38,26857,16628.10,143.07,3527.53,15385.00
28-Apr-20,214,1195,191,40,22541,16624.10,143.12,3520.56,15395.00
29-Apr-20,415,1065,276,31,24132,16578.30,143.24,3514.28,15290.00
30-Apr-20,260,1607,236,94,27326,16109.90,138.36,3436.50,14857.50
04-May-20,349,308,218,122,24972,16281.40,139.05,3419.55,14960.00
05-May-20,395,576,174,55,22593,16324.90,140.87,3485.60,15030.00
06-May-20,484,1104,123,30,23841,16220.80,141.23,3478.22,15025.00
08-May-20,338,629,84,39,28369,16135.20,139.76,3439.40,14908.00
11-May-20,387,209,51,67,20258,16087.40,138.20,3434.48,14885.00
12-May-20,233,456,76,70,18117,16062.80,138.29,3413.96,14902.00
13-May-20,484,708,150,16,22048,16070.60,138.49,3423.19,14852.50
14-May-20,689,507,55,37,20782,16036.20,138.57,3424.76,14867.50
15-May-20,568,622,114,40,27143,16031.70,138.38,3413.96,14857.50
18-May-20,489,120,20,22,18873,16037.30,138.12,3396.62,14835.00
19-May-20,496,492,60,47,21841,16114.70,136.65,3392.74,14755.00
20-May-20,486,524,20,37,19970,16080.70,136.37,3375.81,14705.00
26-May-20,479,358,42,172,19064,16021.40,136.29,3375.16,14727.50
27-May-20,415,276,28,187,18910,16083.20,136.26,3373.29,14707.50
28-May-20,686,191,0,15,18721,16173.30,136.32,3375.59,14710.00
29-May-20,687,3325,68,10,21817,16188.60,135.40,3356.90,14607.50
02-Jun-20,467,338,46,38,21086,16033.80,132.51,3353.90,14415.00
03-Jun-20,609,-766,56,20,20544,15763.20,129.32,3300.56,14095.00
04-Jun-20,684,352,32,93,19699,15778.00,129.07,3292.79,14070.00
05-Jun-20,585,767,46,0,21140,15642.60,126.25,3248.01,13862.50
08-Jun-20,672,343,33,19,22302,15633.20,126.37,3245.47,13850.00
09-Jun-20,847,211,36,7,18822,15613.10,127.92,3246.47,13880.00
10-Jun-20,1043,403,41,7,18665,15736.60,128.75,3246.45,13897.50
11-Jun-20,1240,545,41,2,20614,15804.40,129.84,3275.25,13887.50
12-Jun-20,979,425,40,31,22883,15803.30,131.12,3268.45,14060.00
15-Jun-20,857,407,73,8,19543,15790.80,130.85,3280.39,14040.00
16-Jun-20,1017,152,85,41,19957,15819.60,130.71,3288.90,14047.50
17-Jun-20,1106,344,41,11,23705,15776.10,130.79,3271.56,14034.50
18-Jun-20,1031,458,40,10,25559,15717.80,131.05,3273.73,14005.00
