Date,Covid_Indo,Covid_France,Covid_Jpn,Covid_Mas,Covid_USA,Low_EUR,Low_JPY,Low_MYR,Low_USD
19-Jun-20,1331,467,72,14,27762,15743.70,131.36,3280.82,14055.00
22-Jun-20,862,284,117,16,25793,15746.90,131.80,3290.56,14100.00
23-Jun-20,954,373,52,15,31390,15933.30,132.16,3308.81,14160.00
24-Jun-20,1051,517,59,3,34720,15893.40,131.96,3296.71,14099.50
25-Jun-20,1113,81,83,6,34339,15814.60,131.38,3290.88,14079.50
26-Jun-20,1178,0,87,4,40949,15814.50,131.51,3294.40,14100.00
29-Jun-20,1198,0,86,18,38673,15949.90,132.02,3310.47,14225.00
30-Jun-20,1082,1324,117,3,41556,15907.80,131.47,3309.20,14165.00
01-Jul-20,1293,541,130,2,43880,15954.70,131.79,3327.11,14245.00
02-Jul-20,1385,918,151,1,52048,16043.80,132.71,3325.19,14265.00
03-Jul-20,1624,659,194,3,53399,16150.70,133.66,3354.38,14380.00
06-Jul-20,1607,0,253,0,49093,16272.60,134.13,3374.58,14455.00
07-Jul-20,1209,1375,206,10,49990,16248.40,133.73,3363.53,14374.00
08-Jul-20,1268,475,193,6,57473,16197.80,133.54,3360.22,14375.00
09-Jul-20,1853,663,197,3,58906,16218.30,133.57,3361.05,14342.50
10-Jul-20,2657,621,348,6,63004,16223.90,134.20,3364.13,14397.50
13-Jul-20,1681,0,366,14,57258,16245.40,134.13,3381.36,14365.00
14-Jul-20,1282,1625,352,7,58114,16269.40,133.79,3357.71,14352.00
15-Jul-20,1591,0,288,4,68518,16461.50,134.65,3383.69,14450.00
16-Jul-20,1522,927,382,5,67717,16577.20,135.85,3407.77,14535.00
17-Jul-20,1574,534,583,3,76930,16578.50,135.77,3407.41,14570.00
20-Jul-20,1639,0,454,15,61796,16761.10,136.66,3434.24,14692.50
21-Jul-20,1693,2080,640,21,56750,16838.00,137.29,3454.15,14725.00
22-Jul-20,1655,584,567,15,72048,16835.90,136.54,3431.82,14605.00
23-Jul-20,1882,998,726,16,68848,16814.80,135.63,3417.81,14532.50
24-Jul-20,1906,1062,927,9,63196,16840.30,136.15,3406.53,14505.00
27-Jul-20,1492,0,607,13,55993,16926.40,137.01,3402.66,14480.00
28-Jul-20,1525,2551,0,7,56243,16974.10,137.12,3401.23,14445.00
29-Jul-20,1748,725,1344,39,61734,16941.30,137.51,3401.47,14454.50
30-Jul-20,2381,1392,1126,13,74985,17010.60,137.53,3407.19,14455.00
03-Aug-20,1519,0,1991,14,47511,17111.30,137.17,3440.98,14595.00
04-Aug-20,1679,3376,1786,2,45607,17090.60,137.10,3449.80,14560.00
05-Aug-20,1922,1039,1271,1,57525,17144.50,137.41,3449.75,14520.00
06-Aug-20,1815,1695,1134,21,52804,17167.10,137.02,3452.27,14465.00
07-Aug-20,1882,1604,1552,15,59755,17191.70,137.69,3473.33,14555.00
10-Aug-20,1893,0,1207,13,46847,17180.80,137.84,3479.10,14600.00
11-Aug-20,1687,4854,248,11,49530,17114.80,137.29,3470.60,14580.00
12-Aug-20,1693,1397,1274,9,46813,17152.20,137.16,3482.25,14640.00
13-Aug-20,1942,2524,932,11,55941,17382.10,137.92,3516.43,14725.00
14-Aug-20,2098,2669,1069,15,51094,17432.20,138.03,3519.55,14775.00
18-Aug-20,1821,493,1006,12,35056,17529.00,139.37,3520.60,14750.00
19-Aug-20,1673,2238,1592,7,44091,17473.40,139.15,3523.23,14735.00
24-Aug-20,2037,4897,7,10,34506,17287.00,138.39,3511.79,14670.50
25-Aug-20,1877,1955,1367,7,38298,17206.50,137.40,3495.63,14575.00
26-Aug-20,2447,3304,701,11,38119,17252.60,136.90,3498.86,14585.00
27-Aug-20,2306,5429,846,6,42848,17243.10,137.38,3501.14,14605.00
28-Aug-20,2719,6111,905,5,45909,17314.20,137.21,3502.55,14614.50
31-Aug-20,2858,5413,601,17,35581,17268.20,137.26,3482.18,14505.00
01-Sep-20,2743,3082,527,6,33850,17339.00,137.25,3491.78,14535.00
02-Sep-20,2775,4982,609,14,44639,17325.90,137.27,3508.74,14605.00
03-Sep-20,3075,7017,598,6,38754,17429.30,138.65,3556.87,14755.00
04-Sep-20,3622,7157,669,14,36249,17373.30,138.45,3547.23,14705.00
07-Sep-20,3444,7071,437,6,30555,17399.70,138.36,3542.84,14705.00
08-Sep-20,2880,4203,378,62,24250,17359.30,138.46,3532.95,14720.00
09-Sep-20,3046,6544,492,100,27122,17358.50,139.10,3534.83,14765.00
10-Sep-20,3307,8577,495,24,31927,17441.10,139.02,3544.59,14765.00
11-Sep-20,3861,9843,680,45,37507,17547.50,139.86,3566.21,14877.50
14-Sep-20,3625,7183,439,47,33871,17587.60,139.95,3577.71,14855.00
15-Sep-20,3141,6158,301,31,34841,17573.50,140.08,3580.73,14802.00
16-Sep-20,3507,7852,490,23,51473,17486.00,140.46,3580.68,14790.00
17-Sep-20,3963,9784,561,62,24598,17392.90,140.71,3568.93,14795.00
18-Sep-20,3635,10593,485,21,43567,17420.20,140.34,3562.91,14713.00
21-Sep-20,3989,11569,0,52,39852,17244.60,140.21,3564.24,14664.00
22-Sep-20,4176,4298,781,57,53153,17266.40,140.32,3553.81,14695.00
23-Sep-20,4071,10008,330,82,38307,17235.10,140.22,3554.73,14755.00
24-Sep-20,4465,13072,273,147,37930,17261.70,140.46,3550.64,14815.00
25-Sep-20,4634,16096,456,71,44213,17267.00,140.66,3564.25,14862.50
28-Sep-20,3874,11123,441,150,36248,17270.80,140.68,3563.14,14867.50
29-Sep-20,3509,4070,363,115,32998,17346.70,140.79,3564.93,14867.50
30-Sep-20,4002,8051,516,101,43017,17386.50,140.54,3574.01,14857.50
01-Oct-20,4284,12845,0,0,41982,17378.10,140.27,3572.81,14810.00
02-Oct-20,4174,13970,1205,349,44771,17376.40,140.35,3561.99,14840.00
05-Oct-20,3992,12545,400,293,34901,17358.70,139.88,3556.41,14799.50
06-Oct-20,3622,5104,308,432,40705,17212.70,138.18,3519.71,14605.00
07-Oct-20,4056,10489,496,691,43062,17246.70,138.62,3536.49,14702.50
08-Oct-20,4538,18746,477,489,48182,17258.50,138.57,3537.06,14697.50
09-Oct-20,4850,18129,619,375,56800,17260.70,138.51,3532.46,14665.00
12-Oct-20,4497,16101,435,561,43597,17325.40,138.83,3543.89,14685.00
13-Oct-20,3267,8505,326,563,41653,17261.40,139.29,3536.72,14695.00
14-Oct-20,3906,12993,467,660,52517,17239.40,139.42,3542.88,14705.00
15-Oct-20,4127,22591,570,660,59386,17169.70,139.24,3535.08,14680.00
16-Oct-20,4411,30621,721,589,63785,17186.60,139.29,3533.46,14687.50
19-Oct-20,4105,29837,471,871,47843,17177.80,139.14,3538.22,14670.00
20-Oct-20,3373,13243,353,865,60160,17244.50,138.57,3530.05,14655.00
21-Oct-20,3602,20468,453,862,58549,17302.80,138.68,3525.53,14615.00
22-Oct-20,4267,26676,591,732,62978,17302.90,139.59,3521.69,14615.00
23-Oct-20,4432,41622,614,847,72058,17279.00,139.68,3521.93,14650.00
26-Oct-20,3732,52010,540,823,59440,17290.70,139.43,3511.39,14632.50
27-Oct-20,3222,26771,424,1240,68359,17246.50,139.49,3509.73,14620.00
02-Nov-20,2696,49290,667,957,81001,17011.80,139.48,3516.04,14637.50
03-Nov-20,2618,52518,468,834,83883,16989.30,139.16,3508.75,14584.00
04-Nov-20,2973,36330,619,1054,92734,16877.30,138.04,3482.02,14512.50
05-Nov-20,3356,40558,938,1032,102507,16838.80,137.68,3458.05,14370.00
06-Nov-20,4065,58046,944,1009,122436,16778.80,137.01,3427.48,14200.00
09-Nov-20,3880,38619,998,852,110693,16586.00,133.10,3414.18,14042.50
10-Nov-20,2853,20155,899,972,138901,16548.30,133.18,3399.81,13992.50
11-Nov-20,3779,22180,1173,869,147274,16542.80,133.26,3407.72,14055.00
12-Nov-20,3770,35879,1555,822,143306,16581.30,133.52,3406.74,14080.00
13-Nov-20,4173,33172,1587,919,153669,16701.30,134.69,3422.64,14150.00
16-Nov-20,4106,27228,0,1208,132170,16668.80,134.20,3420.90,14107.50
17-Nov-20,3535,9406,2649,1103,168425,16635.20,134.20,3415.29,14027.50
18-Nov-20,3807,45522,1489,1210,154316,16655.90,134.92,3424.29,14055.00
