date;btc;eth;ada;bch;bnb;eos;link;ltc;trx;usdt;xrp;xmr
2014-09-17;6073910021;0;0;0;0;0;0;162509694;0;0;156499058;6168741
2014-09-18;5638918842;0;0;0;0;0;0;150644651;0;0;148872856;5509216
2014-09-19;5246779621;0;0;0;0;0;0;139268272;0;0;143272132;5135864
2014-09-20;5436072002;0;0;0;0;0;0;138055715;0;0;138326566;4515326
2014-09-21;5303651275;0;0;0;0;0;0;136868702;0;0;132477694;4550686
2014-09-22;5349637034;0;0;0;0;0;0;136860529;0;0;135011065;4529752
2014-09-23;5798754889;0;0;0;0;0;0;153181290;0;0;133732639;5293283
2014-09-24;5632911451;0;0;0;0;0;0;150870070;0;0;135310524;5467366
2014-09-25;5479902023;0;0;0;0;0;0;146090220;0;0;136895366;5100759
2014-09-26;5386071486;0;0;0;0;0;0;143595762;0;0;133802213;5091837
2014-09-27;5322075836;0;0;0;0;0;0;143341474;0;0;136395592;4823060
2014-09-28;5025729375;0;0;0;0;0;0;137354963;0;0;153120071;4528356
2014-09-29;5004177243;0;0;0;0;0;0;137918226;0;0;136381097;4289440
2014-09-30;5158621325;0;0;0;0;0;0;145448084;0;0;134625218;4578165
2014-10-01;5115688242;0;0;0;0;0;0;144081987;0;0;137768233;4526496
2014-10-02;5003085408;0;0;0;0;0;0;140761437;0;0;141296225;4510961
2014-10-03;4796851775;0;0;0;0;0;0;136086012;0;0;145607796;4198178
2014-10-04;4389218291;0;0;0;0;0;0;128480109;0;0;143250100;3747385
2014-10-05;4279040870;0;0;0;0;0;0;120786055;0;0;138819673;3388833
2014-10-06;4408130777;0;0;0;0;0;0;124915960;0;0;137117424;3794550
2014-10-07;4490819565;0;0;0;0;0;0;126200691;0;0;138144223;3910828
2014-10-08;4715887222;0;0;0;0;0;0;127914962;0;0;138760245;4258277
2014-10-09;4878718500;0;0;0;0;0;0;127792595;0;0;139838355;4346737
2014-10-10;4833830847;0;0;0;0;0;0;124850223;0;0;141219693;4508428
2014-10-11;4844961125;0;0;0;0;0;0;123826250;0;0;137787366;4277277
2014-10-12;5063689090;0;0;0;0;0;0;126491045;0;0;140819351;4331218
2014-10-13;5223924767;0;0;0;0;0;0;126976102;0;0;138690091;4426440
2014-10-14;5365153884;0;0;0;0;0;0;134121695;0;0;141222012;4331020
2014-10-15;5285043276;0;0;0;0;0;0;133600022;0;0;139933440;4013397
2014-10-16;5122903035;0;0;0;0;0;0;131562486;0;0;140732963;4067599
2014-10-17;5140342471;0;0;0;0;0;0;131756771;0;0;142165033;3979924
