date;btc;eth;ada;bch;bnb;eos;link;ltc;trx;usdt;xrp;xmr
2014-09-17;21056800;0;0;0;0;0;0;3071840;0;0;1281960;291633
2014-09-18;34483200;0;0;0;0;0;0;4569260;0;0;491147;253082
2014-09-19;37919700;0;0;0;0;0;0;3917450;0;0;407109;171739
2014-09-20;36863600;0;0;0;0;0;0;5490660;0;0;322621;362626
2014-09-21;26580100;0;0;0;0;0;0;2931220;0;0;309571;239591
2014-09-22;24127600;0;0;0;0;0;0;1855960;0;0;267342;137822
2014-09-23;45099500;0;0;0;0;0;0;4661670;0;0;323106;205229
2014-09-24;30627700;0;0;0;0;0;0;2662290;0;0;349329;122748
2014-09-25;26814400;0;0;0;0;0;0;2046960;0;0;745348;126179
2014-09-26;21460800;0;0;0;0;0;0;1548350;0;0;497323;81632
2014-09-27;15029300;0;0;0;0;0;0;889525;0;0;221573;95657
2014-09-28;23613300;0;0;0;0;0;0;1741170;0;0;464102;84412
2014-09-29;32497700;0;0;0;0;0;0;1712650;0;0;122073;83902
2014-09-30;34707300;0;0;0;0;0;0;2456420;0;0;109352;82093
2014-10-01;26229400;0;0;0;0;0;0;1172180;0;0;64998;65139
2014-10-02;21777700;0;0;0;0;0;0;1124950;0;0;209158;61823
2014-10-03;30901200;0;0;0;0;0;0;1471270;0;0;264083;113844
2014-10-04;47236500;0;0;0;0;0;0;6948810;0;0;168516;65893
2014-10-05;83308096;0;0;0;0;0;0;8143680;0;0;181316;86073
2014-10-06;79011800;0;0;0;0;0;0;9482680;0;0;218684;65376
2014-10-07;49199900;0;0;0;0;0;0;7096400;0;0;136439;68251
2014-10-08;54736300;0;0;0;0;0;0;5850860;0;0;398026;116352
2014-10-09;83641104;0;0;0;0;0;0;8316140;0;0;214591;66784
2014-10-10;43665700;0;0;0;0;0;0;6313690;0;0;140436;121420
2014-10-11;13345200;0;0;0;0;0;0;3498570;0;0;263175;81875
2014-10-12;17552800;0;0;0;0;0;0;2712090;0;0;272667;58972
2014-10-13;35221400;0;0;0;0;0;0;4200710;0;0;463679;92058
2014-10-14;38491500;0;0;0;0;0;0;8247860;0;0;231490;63787
2014-10-15;25267100;0;0;0;0;0;0;4837180;0;0;235627;104550
2014-10-16;26990000;0;0;0;0;0;0;4204880;0;0;119623;59154
2014-10-17;13600700;0;0;0;0;0;0;3561280;0;0;245692;63033
2014-10-18;11416800;0;0;0;0;0;0;2386140;0;0;69145;60842
2014-10-19;5914570;0;0;0;0;0;0;1576340;0;0;55747;47857
2014-10-20;16419000;0;0;0;0;0;0;2252890;0;0;295888;86281
2014-10-21;14188900;0;0;0;0;0;0;1948840;0;0;146796;50962
2014-10-22;11641300;0;0;0;0;0;0;2094200;0;0;107561;63726
2014-10-23;26456900;0;0;0;0;0;0;3191780;0;0;378216;97123
2014-10-24;15585700;0;0;0;0;0;0;3557710;0;0;282070;52867
2014-10-25;18127500;0;0;0;0;0;0;2370430;0;0;272566;54596
2014-10-26;11272500;0;0;0;0;0;0;1986590;0;0;440679;37576
2014-10-27;13033000;0;0;0;0;0;0;2694530;0;0;299518;141319
2014-10-28;7845880;0;0;0;0;0;0;2222000;0;0;272894;82388
2014-10-29;18192700;0;0;0;0;0;0;2551500;0;0;346606;23967
2014-10-30;30177900;0;0;0;0;0;0;2667440;0;0;220063;48426
2014-10-31;12545400;0;0;0;0;0;0;2303900;0;0;151046;37303
2014-11-01;16677200;0;0;0;0;0;0;2476220;0;0;190204;33871
2014-11-02;8603620;0;0;0;0;0;0;2031400;0;0;119913;26877
2014-11-03;12948500;0;0;0;0;0;0;2034500;0;0;212517;40900
2014-11-04;15655500;0;0;0;0;0;0;2336120;0;0;276134;42252
2014-11-05;19817200;0;0;0;0;0;0;2855540;0;0;309820;25458
2014-11-06;18797000;0;0;0;0;0;0;2461750;0;0;416386;28528
2014-11-07;16834200;0;0;0;0;0;0;2417010;0;0;434075;29986
2014-11-08;8535470;0;0;0;0;0;0;1508220;0;0;143181;40713
2014-11-09;24205600;0;0;0;0;0;0;1873830;0;0;240824;44247
2014-11-10;30450100;0;0;0;0;0;0;3545550;0;0;545390;67836
2014-11-11;15838900;0;0;0;0;0;0;2783960;0;0;781614;30147
2014-11-12;45783200;0;0;0;0;0;0;8733140;0;0;447173;75047
2014-11-13;58945000;0;0;0;0;0;0;13963000;0;0;486595;41142
2014-11-14;29589200;0;0;0;0;0;0;7587850;0;0;300910;65337
2014-11-15;15727500;0;0;0;0;0;0;3891770;0;0;116803;31335
