date;btc;eth;ada;bch;bnb;eos;link;ltc;trx;usdt;xrp;xmr
2014-09-17;457.334015;0;0;0;0;0;0;5.05855;0;0;0.005399;1.76835
2014-09-18;424.440002;0;0;0;0;0;0;4.68523;0;0;0.005135;1.56928
2014-09-19;394.79599;0;0;0;0;0;0;4.32777;0;0;0.004942;1.45437
2014-09-20;408.903992;0;0;0;0;0;0;4.28644;0;0;0.004772;1.27121
2014-09-21;398.821014;0;0;0;0;0;0;4.24592;0;0;0.00457;1.27415
2014-09-22;402.152008;0;0;0;0;0;0;4.24235;0;0;0.004657;1.26129
2014-09-23;435.790985;0;0;0;0;0;0;4.74657;0;0;0.004613;1.46553
2014-09-24;423.204987;0;0;0;0;0;0;4.66679;0;0;0.004668;1.50534
2014-09-25;411.574005;0;0;0;0;0;0;4.51465;0;0;0.004722;1.3967
2014-09-26;404.424988;0;0;0;0;0;0;4.43359;0;0;0.004616;1.38624
2014-09-27;399.519989;0;0;0;0;0;0;4.4218;0;0;0.004705;1.30611
2014-09-28;377.181;0;0;0;0;0;0;4.23323;0;0;0.005282;1.21969
2014-09-29;375.46701;0;0;0;0;0;0;4.24679;0;0;0.004705;1.149
2014-09-30;386.944;0;0;0;0;0;0;4.47473;0;0;0.004644;1.21957
2014-10-01;383.61499;0;0;0;0;0;0;4.42856;0;0;0.004752;1.19958
2014-10-02;375.071991;0;0;0;0;0;0;4.32266;0;0;0.004874;1.18919
2014-10-03;359.511993;0;0;0;0;0;0;4.17512;0;0;0.005023;1.10095
2014-10-04;328.865997;0;0;0;0;0;0;3.9382;0;0;0.004941;0.977628
2014-10-05;320.51001;0;0;0;0;0;0;3.69914;0;0;0.004789;0.879503
2014-10-06;330.07901;0;0;0;0;0;0;3.82237;0;0;0.00473;0.979703
2014-10-07;336.187012;0;0;0;0;0;0;3.85863;0;0;0.004765;1.0046
2014-10-08;352.940002;0;0;0;0;0;0;3.90789;0;0;0.004787;1.08831
2014-10-09;365.026001;0;0;0;0;0;0;3.90066;0;0;0.004824;1.10564
2014-10-10;361.562012;0;0;0;0;0;0;3.80739;0;0;0.004871;1.14063
2014-10-11;362.299011;0;0;0;0;0;0;3.77266;0;0;0.004753;1.07671
2014-10-12;378.549011;0;0;0;0;0;0;3.85033;0;0;0.004858;1.08503
2014-10-13;390.414001;0;0;0;0;0;0;3.86178;0;0;0.004784;1.10342
2014-10-14;400.869995;0;0;0;0;0;0;4.07591;0;0;0.004872;1.07447
2014-10-15;394.77301;0;0;0;0;0;0;4.05642;0;0;0.004827;0.990811
2014-10-16;382.556;0;0;0;0;0;0;3.99089;0;0;0.004855;0.999458
2014-10-17;383.757996;0;0;0;0;0;0;3.99327;0;0;0.004904;0.973198
2014-10-18;391.441986;0;0;0;0;0;0;4.05576;0;0;0.004965;0.96583
2014-10-19;389.54599;0;0;0;0;0;0;3.98894;0;0;0.004949;0.994436
2014-10-20;382.845001;0;0;0;0;0;0;3.90983;0;0;0.005073;0.950394
2014-10-21;386.475006;0;0;0;0;0;0;3.94001;0;0;0.005193;0.957783
2014-10-22;383.15799;0;0;0;0;0;0;3.84332;0;0;0.005187;0.946716
2014-10-23;358.416992;0;0;0;0;0;0;3.73965;0;0;0.005142;0.865496
2014-10-24;358.345001;0;0;0;0;0;0;3.74753;0;0;0.005082;0.762157
2014-10-25;347.270996;0;0;0;0;0;0;3.66755;0;0;0.004719;0.739802
2014-10-26;354.70401;0;0;0;0;0;0;3.72718;0;0;0.004548;0.694402
2014-10-27;352.989014;0;0;0;0;0;0;3.80731;0;0;0.004891;0.722831
2014-10-28;357.618011;0;0;0;0;0;0;3.84607;0;0;0.004845;0.689257
2014-10-29;335.591003;0;0;0;0;0;0;3.72695;0;0;0.004776;0.63306
2014-10-30;345.304993;0;0;0;0;0;0;3.78586;0;0;0.00489;0.614064
2014-10-31;338.321014;0;0;0;0;0;0;3.754;0;0;0.004867;0.607218
2014-11-01;325.748993;0;0;0;0;0;0;3.57059;0;0;0.004671;0.585832
2014-11-02;325.891998;0;0;0;0;0;0;3.5851;0;0;0.004664;0.579494
2014-11-03;327.553986;0;0;0;0;0;0;3.57806;0;0;0.00481;0.576323
2014-11-04;330.492004;0;0;0;0;0;0;3.59176;0;0;0.004805;0.547635
2014-11-05;339.485992;0;0;0;0;0;0;3.64485;0;0;0.004861;0.571982
2014-11-06;349.290009;0;0;0;0;0;0;3.64956;0;0;0.004877;0.595903
2014-11-07;342.415009;0;0;0;0;0;0;3.55737;0;0;0.004877;0.616295
2014-11-08;345.488007;0;0;0;0;0;0;3.55626;0;0;0.004907;0.643877
2014-11-09;363.264008;0;0;0;0;0;0;3.63146;0;0;0.004926;0.721369
2014-11-10;366.924011;0;0;0;0;0;0;3.69563;0;0;0.004901;0.735697
2014-11-11;367.695007;0;0;0;0;0;0;3.67589;0;0;0.004899;0.717955
2014-11-12;423.561005;0;0;0;0;0;0;4.06861;0;0;0.005097;0.73232
2014-11-13;420.734985;0;0;0;0;0;0;4.09766;0;0;0.005035;0.70453
2014-11-14;397.817993;0;0;0;0;0;0;3.98937;0;0;0.005197;0.689225
2014-11-15;376.132996;0;0;0;0;0;0;3.85433;0;0;0.005052;0.641145
2014-11-16;387.881989;0;0;0;0;0;0;3.88363;0;0;0.005181;0.654531
2014-11-17;387.40799;0;0;0;0;0;0;3.87744;0;0;0.00534;0.58478
2014-11-18;375.197998;0;0;0;0;0;0;3.77016;0;0;0.005432;0.599073
2014-11-19;380.554993;0;0;0;0;0;0;3.80746;0;0;0.005696;0.559003
2014-11-20;357.839996;0;0;0;0;0;0;3.61155;0;0;0.006058;0.525171
2014-11-21;350.847992;0;0;0;0;0;0;3.49693;0;0;0.006589;0.53249
2014-11-22;352.920013;0;0;0;0;0;0;3.52329;0;0;0.007663;0.534829
2014-11-23;367.572998;0;0;0;0;0;0;3.59436;0;0;0.008599;0.526897
